Week,Netherlands,Friesland,Gelderland,Groningen,Limburg,Noord-Brabant,Noord-Holland,Overijssel,Utrecht,Zuid-Holland,Netherlands North,Netherlands East,Netherlands West,Netherlands South
1,31,27,28,26,17,24,29,27,34,26,16,27,30,21
2,29,24,29,24,17,20,25,32,27,28,16,27,27,18
3,28,24,26,23,18,21,25,30,26,26,15,21,26,19
4,30,24,24,23,18,22,26,27,34,27,16,22,29,20
5,28,25,28,23,20,20,26,26,28,22,16,25,25,20
6,29,23,29,24,22,19,25,27,28,25,16,24,26,19
7,29,25,25,26,25,20,25,26,28,28,17,20,27,18
8,25,23,24,26,25,25,21,24,29,19,16,19,22,22
9,19,21,21,23,21,18,15,21,21,18,14,15,17,15
10,22,21,19,21,20,18,19,19,18,19,12,16,19,17
11,23,20,21,19,17,18,19,17,19,21,11,17,20,18
12,20,19,22,17,16,20,15,19,15,16,11,20,16,16
13,16,18,20,15,14,14,15,19,14,12,10,16,14,11
14,17,17,18,15,13,12,14,20,14,11,10,16,14,10
15,16,16,17,13,11,13,14,18,15,12,9,14,14,11
16,14,16,15,14,11,12,11,18,13,11,9,14,11,10
17,14,16,15,13,10,11,12,18,11,11,10,14,11,9
18,13,15,14,15,8,10,11,17,10,10,10,12,11,7
19,14,14,15,15,9,8,10,18,11,10,10,12,11,8
20,14,14,14,16,9,9,13,16,12,10,11,12,12,9
21,11,14,13,15,8,9,10,14,10,8,10,10,9,8
22,12,13,12,15,8,8,9,14,9,10,9,10,9,7
23,12,12,12,14,8,8,9,13,11,10,8,11,10,8
24,11,12,13,14,8,8,10,12,10,8,8,11,9,7
25,12,12,13,13,8,8,10,11,9,8,8,10,10,7
26,10,12,12,12,7,8,10,11,9,8,8,10,8,7
27,11,12,12,12,7,8,9,11,10,8,7,9,9,6
28,11,11,12,11,7,7,9,11,9,8,7,9,8,7
29,11,11,11,11,6,8,9,11,10,9,7,9,10,7
30,12,11,11,10,6,9,10,11,9,9,7,10,9,8
31,11,10,11,10,7,9,11,11,9,9,6,10,10,8
32,12,10,13,10,7,9,10,11,10,10,6,9,11,8
33,14,11,13,10,8,8,11,12,13,12,7,12,12,7
34,15,11,15,10,7,8,13,13,15,14,7,14,14,7
35,19,11,16,10,7,10,17,16,16,18,9,15,18,8
36,25,12,19,13,9,15,20,21,27,22,11,18,23,11
37,27,14,24,16,13,17,25,25,29,25,13,21,26,19
38,32,17,30,21,27,21,29,25,27,29,16,25,29,20
39,27,18,27,25,25,18,25,25,27,21,16,22,25,17
40,28,20,29,24,23,18,24,24,26,25,15,23,25,18
41,25,22,25,23,19,17,22,23,23,21,16,20,22,16
42,23,22,22,21,18,15,24,23,22,19,15,19,22,13
43,23,22,21,21,17,15,19,22,24,17,14,20,20,15
44,22,22,21,20,16,18,21,23,25,17,14,17,20,16
45,23,21,22,20,15,15,20,25,24,20,16,25,21,15
46,25,20,24,21,15,17,21,25,25,21,19,24,23,17
47,28,19,25,25,15,19,26,26,25,24,26,25,26,19
48,30,20,28,28,14,21,28,27,28,24,28,29,27,20
49,35,20,32,29,17,24,37,30,39,28,25,33,34,24
50,42,24,37,30,19,30,48,32,40,35,31,39,42,28
51,48,28,40,32,21,40,57,40,49,43,35,43,50,34
52,67,32,56,42,22,52,81,54,85,66,44,60,75,46
